Title,URL,Status,Priority,Size,Labels
"As a user, I want to see a dashboard after logging in successfully",https://github.com/mearleycf/learnit/issues/1,Backlog,,,"feature, learning platform, mvp, user dashboard"
"As a user, I want to view all of my registered courses",https://github.com/mearleycf/learnit/issues/2,Backlog,,,"feature, learning platform, mvp, user dashboard"
"As a user, I want to see the status and progress of all of my courses",https://github.com/mearleycf/learnit/issues/3,Backlog,,,"feature, learning platform, mvp, user dashboard"
"As a user, I want to view the detailed status of an individual course’s progress",https://github.com/mearleycf/learnit/issues/4,Backlog,,,"feature, learning platform, mvp, user dashboard"
"As a user, I want to see all of my achievements",https://github.com/mearleycf/learnit/issues/5,Backlog,,,"feature, freezer, learning platform, user dashboard"
"As a user, I want to access all of my notes for all courses",https://github.com/mearleycf/learnit/issues/6,Backlog,,,"feature, learning platform, mvp, user dashboard"
"As a user, I want to select a course to continue or start my progress",https://github.com/mearleycf/learnit/issues/7,Backlog,,,"feature, learning platform, mvp, user dashboard"
"As a user, I want to access the course flashcards interface",https://github.com/mearleycf/learnit/issues/9,Backlog,,,"feature, flashcards, freezer, learning platform"
"As a user, I want to view my weekly flashcard streak",https://github.com/mearleycf/learnit/issues/10,Backlog,,,"feature, flashcards, freezer, learning platform"
"As a user, I want to see the count of incomplete/outstanding flashcards",https://github.com/mearleycf/learnit/issues/11,Backlog,,,"feature, flashcards, freezer, learning platform"
"As a user, I want to start a flashcard run with new flashcards",https://github.com/mearleycf/learnit/issues/12,Backlog,,,"feature, flashcards, freezer, learning platform"
"As a user, I want to view flashcard questions and possible answers",https://github.com/mearleycf/learnit/issues/13,Backlog,,,"feature, flashcards, freezer, learning platform"
"As a user, I want to closer the flashcard run screen when needed",https://github.com/mearleycf/learnit/issues/14,Backlog,,,"feature, flashcards, freezer, learning platform"
"As a user, I want to select an answer for a flashcard",https://github.com/mearleycf/learnit/issues/15,Backlog,,,"feature, flashcards, freezer, learning platform"
"As a user, I want to receive feedback on my flashcard answers",https://github.com/mearleycf/learnit/issues/16,Backlog,,,"feature, flashcards, freezer, learning platform"
"As a user, I want to navigate to the next flashcard after answering",https://github.com/mearleycf/learnit/issues/17,Backlog,,,"feature, flashcards, freezer, learning platform"
"As a user, I want to complete a flashcard run and see my score",https://github.com/mearleycf/learnit/issues/18,Backlog,,,"feature, flashcards, freezer, learning platform"
"As a user, I want incorrectly answered flashcards to remain in my new flashcards set",https://github.com/mearleycf/learnit/issues/19,Backlog,,,"feature, flashcards, freezer, learning platform"
"As a user, I want to review all of my earned flashcards",https://github.com/mearleycf/learnit/issues/20,Backlog,,,"feature, flashcards, freezer, learning platform"
"As a user, I want to review completed flashcards by chapter",https://github.com/mearleycf/learnit/issues/21,Backlog,,,"feature, flashcards, freezer, learning platform"
"As a user, I want to view a flashcards onboarding/welcome slideshow",https://github.com/mearleycf/learnit/issues/22,Backlog,,,"feature, flashcards, freezer, learning platform"
"As a user, I want to provide feedback on the flashcard functionality",https://github.com/mearleycf/learnit/issues/23,Backlog,,,"feature, flashcards, freezer, learning platform"
"As a user, I want to access an FAQ",https://github.com/mearleycf/learnit/issues/24,Backlog,,,"feature, flashcards, freezer, learning platform"
"As a user, I want to access my profile menu",https://github.com/mearleycf/learnit/issues/25,Backlog,,,"feature, learning platform, mvp, user profile"
"As a user, I want to view my profile information including avatar, name, and email",https://github.com/mearleycf/learnit/issues/26,Backlog,,,"feature, learning platform, mvp, user profile"
"As a user, I want to easily join GitHub discussions related to the course",https://github.com/mearleycf/learnit/issues/27,Backlog,,,"feature, learning platform, user profile"
"As a user, I want to view my course purchases (open modal)",https://github.com/mearleycf/learnit/issues/28,Backlog,,,"feature, learning platform, mvp, user profile"
"As a user, I want to see details of each purchase including course name, purchase date, and expiration date (modal)",https://github.com/mearleycf/learnit/issues/29,Backlog,,,"feature, learning platform, mvp, user profile"
"As a user, I want to navigate directly to other purchased courses from the course purchases modal",https://github.com/mearleycf/learnit/issues/30,Backlog,,,"feature, learning platform, mvp, user profile"
"As a user, I want to log out of my account",https://github.com/mearleycf/learnit/issues/31,Backlog,,,"feature, learning platform, mvp, user profile"
"As a user, I want to view a “Thank you for upgrading” message after purchasing a course",https://github.com/mearleycf/learnit/issues/32,Backlog,,,"feature, learning platform, mvp, user profile"
